ID,Name,Phone,Rate,Price,Zipcode,State,City,Address,Delivery,Takeout
605,Table,(773) 486-8525,4,$$,60647,IL,Chicago,2728 W Armitage Ave,No,Yes
606,Shoes Pub,(773) 871-4640,4,$,60614,IL,Chicago,1134 W Armitage Ave,No,No
607,Kinmont,(312) 915-0011,4,$$$,60654,IL,Chicago,419 W Superior,No,Yes
608,Strack & Van Til,(773) 252-6400,4,$$,60647,IL,Chicago,2627 N Elston Ave,No,Yes
609,Chick-fil-A,(312) 266-8888,4,$,60611,IL,Chicago,30 E Chicago Ave,No,Yes
610,Floriole Cafe & Bakery,(773) 883-1313,4,$$,60614,IL,Chicago,1220 W Webster Ave,No,Yes
611,Yolk River North,(312) 787-2277,4,$$,60654,IL,Chicago,747 N Wells,No,Yes
612,Happy Camper,(312) 344-1634,4,$$,60610,IL,Chicago,1209 N Wells St,Yes,Yes
613,Little Bad Wolf,(773) 942-6399,4.5,$$,60660,IL,Chicago,1541 W Bryn Mawr Ave,No,No
614,Silli Kori,(773) 384-5352,4.5,$$,60622,IL,Chicago,2053 W Division St,Yes,Yes
615,Bombacigno's J & C Inn,(312) 663-4114,4.5,$,60607,IL,Chicago,558 W Van Buren St,No,Yes
616,Johnnie's Snack Shop,(312) 226-7769,4,$,60661,IL,Chicago,160 N Halsted St,Yes,Yes
617,Bodhi Thai,(312) 492-8424,4.5,$$,60616,IL,Chicago,1800 S Jefferson,Yes,Yes
618,Sticky Rice,(773) 588-0133,4,$$,60618,IL,Chicago,4018 N Western Ave,Yes,Yes
619,Caffe Gelato,(773) 227-7333,4,$,60622,IL,Chicago,2034 W Division St,No,Yes
620,Chicago Line Cruises,(312) 527-2002,4.5,0,60611,IL,Chicago,465 N Mcclurg Ct,No,No
621,Double Door,(773) 489-3160,4,$$,60622,IL,Chicago,1572 N Milwaukee Ave,No,No
622,Bricks,(312) 255-0851,4,$$,60614,IL,Chicago,1909 N Lincoln Ave,Yes,Yes
623,The Chipp Inn,(312) 421-9052,4,$,60622,IL,Chicago,832 N Greenview Ave,No,No
624,BenjYehuda,(312) 726-9653,4,$,60603,IL,Chicago,10 S LaSalle St,Yes,Yes
625,Francesca's on Taylor,(312) 829-2828,4,$$,60607,IL,Chicago,1400 W Taylor St,No,Yes
626,Carnivale,(312) 850-5005,4,$$$,60661,IL,Chicago,702 W Fulton Market,No,Yes
627,Kerelys Cuban Cafe & Pizzeria,(773) 394-4040,4.5,$,60618,IL,Chicago,2934 N Milwaukee Ave,Yes,Yes
628,The Grind,(000) 000-0000,4.5,$,60625,IL,Chicago,4613 N Lincoln Ave,No,Yes
629,The Allis,(312) 521-8000,4,$$,60607,IL,Chicago,113-125 N Green St,No,No
630,Bistro Campagne,(773) 271-6100,4,$$$,60625,IL,Chicago,4518 N Lincoln Ave,No,Yes
631,Beef Shack,(773) 472-2333,4.5,$,60657,IL,Chicago,1056 W Belmont Ave,Yes,Yes
632,Crown Fountain,(312) 742-1168,4.5,0,60602,IL,Chicago,201 E Randolph St,No,No
633,Cafe Con Leche,(773) 289-4274,4,$$,60647,IL,Chicago,2714 N Milwaukee Ave,Yes,Yes
634,George's Hot Dogs,(773) 227-4034,4,$,60647,IL,Chicago,1876 N Damen Ave,Yes,Yes
635,Tiztal Cafe,(773) 271-4631,4,$$,60640,IL,Chicago,4631 N Clark St,No,Yes
636,Sunda,(312) 644-0500,4,$$$,60654,IL,Chicago,110 W Illinois St,Yes,Yes
637,The Orbit Room,(773) 588-8540,4,$$,60618,IL,Chicago,2959 N California Ave,No,Yes
638,Headquarters Beercade River North,(312) 291-8735,4,$$,60610,IL,Chicago,213 W Institute Pl,No,Yes
639,Urban Vegan,(773) 404-1109,4,$$,60613,IL,Chicago,1605 W Montrose Ave,Yes,Yes
640,Happy Village,(773) 486-1512,4,$,60622,IL,Chicago,1059 N Wolcott Ave,No,No
641,Tom Yum Cafe,(773) 270-5646,4.5,$,60657,IL,Chicago,608 W Barry Ave,Yes,Yes
642,Birreria Reyes de Ocotlan,(312) 733-2613,4.5,$,60608,IL,Chicago,1322 W 18th St,No,Yes
643,Shokran Moroccan Restaurant,(773) 427-9130,4.5,$$,60641,IL,Chicago,4027 W Irving Park,No,Yes
644,Isla Pilipina,(773) 271-2988,4,$$,60625,IL,Chicago,2501 W Lawrence Ave,No,Yes
645,Blue Sky Bakery & Cafe,(773) 880-9910,4.5,$,60613,IL,Chicago,3720 N Lincoln Ave,No,Yes
646,The Bad Apple,(773) 360-8406,4,$$,60618,IL,Chicago,4300 N Lincoln Ave,No,Yes
647,The Green Lady,(773) 525-5571,4,$$,60657,IL,Chicago,3328 N Lincoln Ave,No,No
648,Aloha Eats,(773) 935-6828,4,$,60614,IL,Chicago,2534 N Clark St,Yes,Yes
649,Butterfly Sushi Bar & Thai Cuisine,(312) 563-5555,4,$$,60642,IL,Chicago,1139 W Grand Ave,Yes,Yes
650,Taqueria El Asadero,(773) 583-5563,4,$,60618,IL,Chicago,2213 W Montrose Ave,No,Yes
651,El Taco Feliz Taqueria,(773) 283-4377,4.5,$,60641,IL,Chicago,5439 W Addison St,Yes,Yes
652,Cleos,(312) 243-5600,4,$$,60622,IL,Chicago,1935 W Chicago Ave,No,Yes
653,Pierrot Gourmet,(312) 573-6749,4,$$,60611,IL,Chicago,108 E Superior St,No,Yes
654,Summer House,(773) 634-4100,4,$$,60614,IL,Chicago,1954 N Halsted St,No,Yes
655,Herb,(773) 944-9050,4.5,$$$,60640,IL,Chicago,5424 N Broadway St,No,Yes
656,Esencia Urban Kitchen,(773) 472-8553,4,$$,60657,IL,Chicago,3351 N Broadway St,No,Yes
657,Chicago Bagel Authority,(773) 248-9606,4,$,60614,IL,Chicago,953 W Armitage Ave,Yes,Yes
658,Osteria Via Stato,(312) 642-8450,4,$$,60654,IL,Chicago,620 N State St,Yes,Yes
659,Mayan Palace Mexican Cuisine,(773) 935-4200,4,$$,60614,IL,Chicago,2703 N Halsted St,No,Yes
660,Macello,(312) 850-9870,4,$$,60607,IL,Chicago,1235 W Lake St,Yes,Yes
661,Oasis Cafe,(312) 443-9534,4,$,60602,IL,Chicago,21 N Wabash Ave,No,Yes
662,Rosebud Steakhouse,(312) 397-1000,4,$$$,60611,IL,Chicago,192 E Walton Pl,Yes,Yes
663,Morgan Street Cafe,(312) 850-0234,4,$,60607,IL,Chicago,111 S Morgan St,Yes,Yes
664,Chez Delisay's Cajun Cuisine,(872) 806-0986,5,$$,60626,IL,Chicago,6621 N Clark St,No,Yes
665,Bartoli's Pizzeria,(773) 248-0455,4,$,60613,IL,Chicago,1955 W Addison St,Yes,Yes
666,Sai Cafe,(773) 472-8080,4,$$,60614,IL,Chicago,2010 N Sheffield Ave,Yes,Yes
667,Meatheads,(773) 525-5300,4,$$,60618,IL,Chicago,3304 N Western Ave,No,Yes
668,Northdown Cafe and Taproom,(773) 697-7578,4,$$,60657,IL,Chicago,3244 N Lincoln Ave,No,Yes
669,Timber Lanes,(773) 549-9770,4.5,$,60613,IL,Chicago,1851 W Irving Park Rd,No,No
670,Seoul Taco,(312) 265-1607,4.5,$,60654,IL,Chicago,738 N Clark St,No,Yes
671,Lucia's Gourmet Italian Cuisine,(773) 292-9700,4,$$,60622,IL,Chicago,1825 W North Ave,No,Yes
672,Cherry Circle Room,(312) 792-3515,4,$$$,60603,IL,Chicago,12 S Michigan Ave,No,No
673,Sable,(312) 755-9704,4,$$,60654,IL,Chicago,505 N State St,No,Yes
674,Kingsbury Street Cafe,(312) 280-1718,4,$$,60642,IL,Chicago,1523 N Kingsbury St,No,Yes
675,Bittersweet Pastry Shop,(773) 929-1100,4,$$,60657,IL,Chicago,1114 W Belmont Ave,Yes,Yes
676,The Jibarito Stop,(312) 988-0585,4.5,$,60608,IL,Chicago,1646 W 18th St,Yes,Yes
677,Primos Chicago Pizza Pasta,(312) 243-1052,4,$,60607,IL,Chicago,816 W Van Buren St,Yes,Yes
678,25 Degrees,(312) 943-9700,4,$$,60654,IL,Chicago,736 N Clark St,No,Yes
679,Altiro Latin Fusion - Roscoe,(773) 935-4000,4.5,$$$,60618,IL,Chicago,2116 W Roscoe St,No,Yes
680,Luke's Lobster,(000) 000-0000,4,$$,60602,IL,Chicago,134 N LaSalle St,Yes,Yes
681,La Cocina,(773) 588-5799,4,$,60618,IL,Chicago,2901 N Kedzie Ave,Yes,Yes
682,Rose's Lounge,(773) 327-4000,4,$,60614,IL,Chicago,2656 N Lincoln Ave,No,No
683,Tango Sur,(773) 477-5466,4,$$,60613,IL,Chicago,3763 N Southport Ave,No,Yes
684,White Oak Tavern & Inn,(773) 248-0200,4,$$,60614,IL,Chicago,1200 W Webster Ave,No,Yes
685,Buzz Bait Taqueria,(312) 664-2899,4,$$,60611,IL,Chicago,1529 N Wells St,No,Yes
686,Gaslight Coffee Roasters,(000) 000-0000,4,$,60647,IL,Chicago,2385 N Milwaukee Ave,No,Yes
687,M2 Cafe,(312) 265-1824,4.5,$,60607,IL,Chicago,850 W Jackson,No,Yes
688,Andorka's Sandwich Shop,(312) 763-6916,4.5,$,60608,IL,Chicago,2110 S Halsted St,Yes,Yes
689,Belly Shack,(773) 252-1414,4,$$,60647,IL,Chicago,1912 N Western Ave,Yes,Yes
690,Perennial Virant,(312) 981-7070,4,$$$,60614,IL,Chicago,1800 N Lincoln Ave,No,Yes
691,The Warehouse Bar & Pizzeria Chicago,(773) 661-6454,4.5,$$,60614,IL,Chicago,1419 W Fullerton Ave,Yes,Yes
692,Protein Bar,(312) 527-0450,4,$$,60654,IL,Chicago,352 N Clark,Yes,Yes
693,Ten Cat Tavern,(773) 935-5377,4,$,60613,IL,Chicago,3931 N Ashland Ave,No,No
694,NoMI Kitchen,(312) 239-4030,4,$$$$,60611,IL,Chicago,800 N Michigan Ave,No,No
695,Burger Bar Chicago - Lincoln Park,(312) 255-0055,4,$$,60642,IL,Chicago,1578 N Clybourn Ave,Yes,Yes
696,Tea'se Tea Shoppe,(773) 599-4136,5,$,60634,IL,Chicago,5755 W Irving Park Rd,No,Yes
697,Si-Pie Pizzeria,(773) 360-1862,4.5,$,60657,IL,Chicago,3477 N Broadway ST,Yes,Yes
698,Cafe Colao,(773) 276-1780,4,$,60622,IL,Chicago,2638 W Division St,No,Yes
699,Mirai Sushi,(773) 862-8500,4,$$$,60622,IL,Chicago,2020 W Division St,Yes,Yes
700,North Pond,(773) 477-5845,4,$$$$,60614,IL,Chicago,2610 N Cannon Dr,No,No
701,ZED451,(312) 266-6691,4,$$$,60654,IL,Chicago,739 N Clark St,No,No
702,Blue Door Kitchen & Garden,(312) 573-4000,4,$$,60610,IL,Chicago,52 W Elm St,No,Yes
703,Sweet Maple Cafe,(312) 243-8908,4,$$,60607,IL,Chicago,1339 W Taylor St,No,Yes
704,Rossi's Liquors,(312) 644-5775,4,$,60654,IL,Chicago,412 N State St,No,No
705,John Hancock Center,(312) 751-3680,4,0,60611,IL,Chicago,875 N Michigan Ave,No,No
706,Devil Dawgs,(773) 281-4300,4,$,60614,IL,Chicago,2147 N Sheffield Ave,No,Yes
707,Afghan Kabob,(773) 427-5041,4.5,$$,60641,IL,Chicago,4040 W Montrose Ave,Yes,Yes
708,Grange Hall Burger Bar,(312) 491-0844,4,$$,60607,IL,Chicago,844 W Randolph St,Yes,Yes
709,The Twisted Vine Chicago,(773) 388-0952,4.5,$$,60657,IL,Chicago,3530 N  Halsted St,No,No
710,Blaze Fast-Fire'd Pizza,(312) 255-1290,4,$,60611,IL,Chicago,227 E Ontario St,No,Yes
711,Dinkel's Bakery,(773) 281-7300,4,$,60657,IL,Chicago,3329 N Lincoln Ave,No,Yes
712,L'Appetito,(312) 787-9881,4,$,60611,IL,Chicago,30 E Huron St,No,Yes
713,Taqueria El Tapatio,(773) 278-1468,5,$,60639,IL,Chicago,4238 W Fullerton Ave,No,Yes
714,The Eastman Egg Company,(312) 384-1011,4,$,60606,IL,Chicago,23 N Wacker Dr,Yes,Yes
715,Le Colonial,(312) 255-0088,4,$$$,60611,IL,Chicago,937 N Rush St,No,Yes
716,Mythos Greek Taverna,(773) 334-2000,4,$$,60618,IL,Chicago,2030 W Montrose Ave,No,Yes
717,42 grams,(000) 000-0000,4.5,$$$$,60640,IL,Chicago,4662 N Broadway,No,No
718,Rickshaw Republic,(773) 697-4750,4,$$,60614,IL,Chicago,2312 N Lincoln Ave,Yes,Yes
719,Ola's Liquor,(773) 384-7250,4.5,$,60622,IL,Chicago,947 N Damen Ave,No,Yes
720,Geja's Cafe,(773) 281-9101,4,$$$,60614,IL,Chicago,340 W Armitage Ave,Yes,Yes
721,Friends Sushi,(312) 787-8998,4,$$,60611,IL,Chicago,710 N Rush St,Yes,Yes
722,Francesca's Cafe,(630) 407-4641,4.5,$,60622,IL,Chicago,852 N Damen Ave,No,Yes
723,Habana Libre Restaurant,(312) 243-3303,4,$$,60642,IL,Chicago,1440 W Chicago Ave,Yes,Yes
724,Farmhouse,(312) 280-4960,4,$$,60654,IL,Chicago,228 W Chicago Ave,No,Yes
725,Fahlstrom's Fresh Fish Market,(773) 281-6000,4,$$,60657,IL,Chicago,1258 W Belmont Ave,No,Yes
726,Templestowe Pub,(773) 681-0341,4.5,$,60618,IL,Chicago,3135 W Montrose,No,No
727,Gus's World Famous Fried Chicken,(312) 733-1971,4,$$,60607,IL,Chicago,847 West Fulton Market,No,Yes
728,Gyu-Kaku Japanese BBQ,(312) 982-2840,4,$$,60607,IL,Chicago,1364 W Randolph St,No,No
729,Sushi Dokku,(312) 455-8238,4,$$,60607,IL,Chicago,823 W Randolph St,Yes,Yes
730,Paddy Long's,(773) 290-6988,4,$$,60614,IL,Chicago,1028 W Diversey Pkwy,No,Yes
731,Bow Truss Coffee Roasters River North,(312) 222-1306,4,$$,60654,IL,Chicago,406 N Wells St,No,Yes
732,Letizia's Natural Bakery,(773) 342-1011,4,$,60622,IL,Chicago,2144 W Division St,Yes,Yes
733,El Rinconcito Cubano,(773) 489-4440,4.5,$$,60647,IL,Chicago,3238 W Fullerton Ave,No,Yes
734,Weegee's Lounge,(773) 384-0707,4,$$,60647,IL,Chicago,3659 W Armitage Ave,No,No
735,Stella Barra Pizzeria,(773) 634-4101,4,$$,60614,IL,Chicago,1954 N Halsted St,No,Yes
736,Devon Seafood Grill,(312) 440-8660,4,$$$,60611,IL,Chicago,39 E Chicago Ave,No,Yes
737,Mart Anthony's Italian Restaurant,(312) 421-3477,4,$$,60642,IL,Chicago,1200 W Hubbard St,Yes,Yes
738,Whirlaway Lounge,(773) 276-6809,4,$,60647,IL,Chicago,3224 W Fullerton Ave,No,No
739,Silom 12,(773) 489-1212,4,$$,60647,IL,Chicago,1846-48 N Milwaukee Ave,Yes,Yes
740,D O C Wine Bar,(773) 883-5101,4,$$,60614,IL,Chicago,2602 N Clark St,No,No
741,LD Pho,(773) 961-8551,4.5,$$,60625,IL,Chicago,4722 N Kedzie Ave,Yes,Yes
742,The Dearborn,(312) 384-1242,4.5,$$,60602,IL,Chicago,145 N Dearborn St,No,Yes
743,ORD Pizzeria,(773) 327-9200,4.5,$$,60613,IL,Chicago,1607 W Montrose Ave,Yes,Yes
744,Allium,(312) 799-4900,4,$$$,60611,IL,Chicago,120 E Delaware Pl,No,No
745,Izakaya Mita,(773) 799-8677,4,$$,60647,IL,Chicago,1960 N Damen Ave,No,Yes
746,Cole's,(773) 276-5802,4,$,60647,IL,Chicago,2338 N Milwaukee Ave,No,No
747,Hachi's Kitchen,(773) 276-8080,4,$$,60647,IL,Chicago,2521 N California Ave,Yes,Yes
748,Alliance Bakery & Cafe,(773) 278-0366,4,$,60622,IL,Chicago,1736 W Division St,No,Yes
749,Compass Bar,(773) 248-3230,4,$$,60614,IL,Chicago,433 W Diversey Pkwy,Yes,Yes
750,Da Rae Jung,(773) 907-9155,4.5,$$,60625,IL,Chicago,5220 N Lincoln Ave,No,Yes
751,Kiki's Bistro,(312) 335-5454,4,$$$,60610,IL,Chicago,900 N Franklin St,No,Yes
752,Kabobi Grill,(773) 583-1400,4.5,$$,60625,IL,Chicago,4748 N Kedzie Ave,Yes,Yes
753,Bar Takito,(312) 888-9485,4,$$,60607,IL,Chicago,201 N Morgan St,No,No
754,Julius Meinl,(773) 883-1862,4,$$,60613,IL,Chicago,3601 N Southport Ave,No,Yes
755,Starbucks,(773) 281-6272,4.5,$,60618,IL,Chicago,2023 W Roscoe St,No,Yes
756,Chief O'Neill's Pub & Restaurant,(773) 583-3066,4,$$,60618,IL,Chicago,3471 N Elston Ave,Yes,Yes
757,Danny's Egghead Diner,(773) 857-0171,4,$$,60618,IL,Chicago,2012 W Irving Park Rd,Yes,Yes
758,Tortoise Supper Club,(312) 755-1700,4,$$$,60654,IL,Chicago,350 N State St,No,Yes
759,Crosby's Kitchen,(773) 883-2525,4,$$,60657,IL,Chicago,3455 N Southport Ave,No,Yes
760,Dollop Lakeview,(773) 661-9341,4,$,60657,IL,Chicago,824 W Belmont Ave,No,Yes
761,Fabcakes,(312) 397-3300,4,$,60654,IL,Chicago,714 N Wells St,No,Yes
762,George Street Pub,(773) 661-6635,4,$$,60657,IL,Chicago,2858 N Halsted St,No,No
763,Max's Take Out,(312) 553-0170,4,$,60603,IL,Chicago,20 E Adams St,Yes,Yes
764,Milk Room,(312) 792-3535,4.5,$$$$,60603,IL,Chicago,12 S Michigan,No,No
765,Original Pancake House,(312) 642-7917,4,$$,60611,IL,Chicago,22 E Bellevue Pl,No,Yes
766,Hakka Bakka,(872) 802-3968,4,$,60614,IL,Chicago,1251 W Fullerton Ave,Yes,Yes
767,Shiawase Restaurant,(773) 883-8888,4.5,$$,60657,IL,Chicago,3422 N Broadway St,Yes,Yes
768,MingHin Cuisine,(312) 228-1333,4,$$,60601,IL,Chicago,333 E Benton Pl,Yes,Yes
769,Jubilee Juice & Grill,(312) 491-8500,4,$$,60661,IL,Chicago,140 N Halsted St,Yes,Yes
770,Kim & Carlo's Hot Dog Stand,(000) 000-0000,4.5,$,60605,IL,Chicago,1400 S Lake Shore Dr,No,Yes
771,Hash,(773) 661-2964,4,$$,60622,IL,Chicago,1357 N Western Ave,Yes,Yes
772,Riccardo Trattoria,(773) 549-0038,4,$$$,60614,IL,Chicago,2119 N Clark St,No,Yes
773,River Roast,(312) 822-0100,4,$$,60654,IL,Chicago,315 N La Salle Dr,Yes,Yes
774,El Taco Veloz,(312) 738-0363,4,$,60622,IL,Chicago,1745 W Chicago Ave,No,Yes
775,Koko's Mediterranean Grille,(312) 988-0088,4,$,60622,IL,Chicago,1760 W Chicago Ave,Yes,Yes
776,Tiny Lounge,(773) 463-0396,4,$$,60618,IL,Chicago,4352 N Leavitt St,No,Yes
777,The Book Cellar,(773) 293-2665,4,$$,60625,IL,Chicago,4736-38 N Lincoln Ave,No,No
778,Osteria La Madia,(312) 329-0400,4,$$,60654,IL,Chicago,59 W Grand Ave,Yes,Yes
779,Morton's The Steakhouse,(312) 266-4820,4,$$$$,60610,IL,Chicago,1050 N. State St.,No,No
780,Patsy's Place,(773) 248-2825,4,$$,60657,IL,Chicago,2825 N Lincoln Ave,No,Yes
781,Carniceria Guanajuato,(773) 267-7739,4.5,$,60618,IL,Chicago,3140 N California Ave,No,Yes
782,Lou Malnati's Pizzeria,(312) 243-4000,4,$$,60607,IL,Chicago,1235 W Randolph St,Yes,Yes
783,Nami Sushi Bar,(872) 241-4407,4.5,$$,60613,IL,Chicago,1828 W Montrose Ave,Yes,Yes
784,Charleston,(773) 489-4757,4,$$,60647,IL,Chicago,2076 N Hoyne Ave,No,No
785,New City Moving,(800) 733-6644,5,0,60647,IL,Chicago,2358 N Damen Ave,No,No
786,Fat Willy's Rib Shack,(773) 782-1800,4,$$,60647,IL,Chicago,2416 W Schubert Ave,Yes,Yes
787,Farm Bar Lakeview,(773) 281-2599,4,$$,60657,IL,Chicago,1300 W Wellington Ave,Yes,Yes
788,O'Cha Thai Cuisine,(773) 235-6242,4,$$,60647,IL,Chicago,2062 N Damen Ave,Yes,Yes
789,Sunset Pho Caffe,(773) 275-2327,4.5,$$,60659,IL,Chicago,5726 N Western Ave,Yes,Yes
790,Rubi's at the New Maxwell Street Market,(773) 318-9526,4.5,$,60607,IL,Chicago,800 S DesPlaines St,No,Yes
791,Frasca,(773) 248-5222,4,$$,60657,IL,Chicago,3358 N Paulina St,No,Yes
792,Royal Thai Restaurant,(773) 509-0007,4,$,60618,IL,Chicago,2209 W Montrose Ave,Yes,Yes
793,Las Tablas Colombian Steakhouse,(773) 871-2414,4,$$,60657,IL,Chicago,2942 N Lincoln Ave,No,Yes
794,Fat Rice,(773) 661-9170,4,$$,60647,IL,Chicago,2957 W Diversey Ave,No,No
795,Style Matters,(773) 278-3467,5,0,60612,IL,Chicago,2324 W Fulton,No,No
796,O's Tap,(773) 342-8945,5,$,60647,IL,Chicago,2044 N Western Ave,No,No
797,Azteca Grill,(773) 857-6565,4,$,60613,IL,Chicago,3731 N Clark St,Yes,Yes
798,Spacca Napoli,(773) 878-2420,4,$$,60640,IL,Chicago,1769 W Sunnyside Ave,No,No
799,First Draft,(312) 461-1062,4,$$,60605,IL,Chicago,649 S Clark St,No,Yes
800,Bryn Mawr Breakfast Club,(872) 208-7079,4.5,$$,60659,IL,Chicago,3401 W Bryn Mawr Ave,No,Yes
801,Yelp's 12th Burstday Aboard THE ZEPHYR,(000) 000-0000,5,0,10038,NY,New York,South Street Seaport,No,No
802,Coffee Project New York,(212) 228-7888,5,$$,10003,NY,New York,239 E 5th St,No,Yes
803,Brooklyn Bridge Park,(718) 222-9939,4.5,0,11201,NY,Brooklyn,334 Furman St,No,No
804,Brooklyn Heights Promenade,(212) 639-9675,5,0,11201,NY,Brooklyn,Columbia Heights,No,No
805,Brooklyn Bridge,(000) 000-0000,4.5,0,11201,NY,Brooklyn,334 Furman St,No,No
806,La Contenta,(212) 432-4180,4.5,$$,10002,NY,New York,102 Norfolk St,Yes,Yes
807,Los Tacos No.1,(212) 256-0343,4.5,$,10011,NY,New York,75 9th Ave,No,Yes
808,Ruffian Wine Bar & Chef's Table,(212) 777-0855,5,$$,10009,NY,New York,125 E 7th St,No,No
809,Kura,(212) 228-1010,4.5,$$$$,10009,NY,New York,130 St Marks Pl,No,No
810,Matcha Cafe Wabi,(000) 000-0000,4.5,$,10009,NY,New York,233 E 4th St,No,Yes
811,Jungsik,(212) 219-0900,4.5,$$$$,10013,NY,New York,2 Harrison St,No,No
812,Faicco's Italian Specialties,(212) 243-1974,4.5,$$,10014,NY,New York,260 Bleecker St,No,Yes
813,Porto Rico Importing Company,(212) 477-5421,4.5,$,10012,NY,New York,201 Bleecker St,No,Yes
814,Miscelanea NY,(212) 253-0277,5,$,10003,NY,New York,63 E 4th St,Yes,Yes
815,The High Line,(212) 206-9922,4.5,0,10014,NY,New York,820 Washington St,No,No
816,Bergen Hill,(212) 260-2182,4.5,$$$,10003,NY,New York,64 Cooper Sq,No,No
817,Pisillo Italian Panini,(212) 227-3104,4.5,$$,10038,NY,New York,97 Nassau St,Yes,Yes
818,Manousheh,(347) 971-5778,4.5,$,10012,NY,New York,193 Bleecker St,Yes,Yes
819,McNulty's Tea & Coffee Co,(212) 242-5351,4.5,$$,10014,NY,New York,109 Christopher St,No,Yes
820,Prince Street Pizza,(212) 966-4100,4.5,$,10012,NY,New York,27 Prince St,Yes,Yes
821,Beyond Sushi,(646) 861-2889,4.5,$$,10003,NY,New York,229 E 14th St,Yes,Yes
822,Upstate,(917) 408-3395,4.5,$$,10003,NY,New York,95 1st Ave,No,No
823,Gramercy Tavern,(212) 477-0777,4.5,$$$$,10003,NY,New York,42 E 20th St,No,No
824,9/11 Tribute Center,(212) 393-9160,4.5,0,10006,NY,New York,120 Liberty St,No,No
825,Ichimura At Brushstroke,(212) 791-3771,4.5,$$$$,10013,NY,New York,30 Hudson St,No,No
826,Arcade Bakery,(212) 227-7895,4.5,$$,10013,NY,New York,220 Church St,No,Yes
827,Eleven Madison Park,(212) 889-0905,4.5,$$$$,10010,NY,New York,11 Madison Ave,No,No
828,Bouley,(212) 964-2525,4.5,$$$$,10013,NY,New York,163 Duane St,No,No
829,Taim Falafel and Smoothie Bar,(212) 691-1287,4.5,$,10014,NY,New York,222 Waverly Pl,Yes,Yes
830,Bryant Park,(212) 768-4242,4.5,0,10018,NY,New York,41 W 40th St,No,No
831,Senza Gluten,(212) 475-7775,4.5,$$,10012,NY,New York,206 Sullivan St,Yes,Yes
832,Kam Hing Coffee Shop,(212) 925-0425,4.5,$,10013,NY,New York,118 Baxter St,No,Yes
833,RISE Coffee,(401) 484-7473,5,$,10002,NY,New York,85 Stanton St,No,Yes
834,Thursday Kitchen,(646) 755-8088,4.5,$$,10009,NY,New York,424 E 9th St,No,Yes
835,Gantry Plaza State Park,(718) 786-6385,5,0,11101,NY,New York,"474 48th Ave, Long Island City",No,No
836,Grand Central Terminal,(212) 340-2583,4.5,0,10017,NY,New York,89 E 42nd St,No,No
837,Whiskey Tavern,(212) 374-9119,4.5,$$,10013,NY,New York,79 Baxter St,No,No
838,Juliana's Pizza,(718) 596-6700,4.5,$$,11201,NY,Brooklyn,19 Old Fulton St,No,Yes
839,Wah Fung No 1 Fast Food,(212) 925-5175,4.5,$,10002,NY,New York,79 Chrystie St,No,Yes
840,Despana,(212) 219-5050,4.5,$$,10013,NY,New York,408 Broome St,Yes,Yes
841,Bohemian Restaurant,(000) 000-0000,4.5,$$$,10012,NY,New York,57 Great Jones St,No,No
842,Russ & Daughters,(212) 475-4880,4.5,$$,10002,NY,New York,179 E Houston St,Yes,Yes
843,The Greek,(646) 476-3941,4.5,$$$,10013,NY,New York,458 Greenwich St,No,Yes
844,Abraco,(000) 000-0000,4.5,$,10003,NY,New York,86 E 7th St,No,Yes
845,Nish Nush,(212) 964-1318,4.5,$,10013,NY,New York,88 Reade St,Yes,Yes
846,Simple,(646) 870-8292,4.5,$$,10002,NY,New York,109 Eldridge St,Yes,Yes
847,Chobani SoHo,(212) 364-3970,4.5,$,10012,NY,New York,152 Prince St,No,Yes
848,Voyager Espresso,(646) 885-6792,5,$$,10038,NY,New York,110 William St,No,Yes
849,Breakroom,(212) 227-2802,4.5,$,10013,NY,New York,83 Baxter St,Yes,Yes
850,Dan and John's Wings,(212) 858-9935,4.5,$$,10003,NY,New York,135 1st Ave,Yes,Yes
851,Doughnut Plant,(212) 505-3700,4.5,$$,10002,NY,New York,379 Grand St,No,Yes
852,Song E Napule,(212) 533-1242,4.5,$$,10012,NY,New York,146 W Houston St,Yes,Yes
853,Wafels & Dinges,(866) 429-7329,4.5,$,10011,NY,New York,New York,Yes,Yes
854,Fresco Gelateria,(212) 677-6320,4.5,$,10003,NY,New York,138 2nd Ave,Yes,Yes
855,The GoGo Grill,(646) 425-1905,4.5,$,10004,NY,New York,1 Broadway,No,Yes
856,Cheeky Sandwiches,(646) 504-8132,4.5,$,10002,NY,New York,35 Orchard St,No,Yes
857,La Margarita Pizza,(212) 228-1233,4.5,$,10002,NY,New York,151 Ludlow St,Yes,Yes
858,Housing Works Bookstore Cafe,(212) 334-3324,4.5,$,10012,NY,New York,126 Crosby St,No,Yes
859,McNally Jackson,(212) 274-1160,4.5,$$,10012,NY,New York,52 Prince St,No,Yes
860,bibi,(212) 673-2424,4.5,$$,10009,NY,New York,211 E 4th St,No,No
861,Chef's Table at Brooklyn Fare,(718) 243-0050,4.5,$$$$,11201,NY,Brooklyn,200 Schermerhorn St,No,No
862,Cafe Katja,(212) 219-9545,4.5,$$,10002,NY,New York,79 Orchard St,No,Yes
863,L'Artusi,(212) 255-5757,4.5,$$$,10014,NY,New York,228 W 10th St,No,No
864,Petee's Pie Company,(212) 966-2526,4.5,$,10002,NY,New York,61 Delancey St,Yes,Yes
