Name,Phone,Rate,Price,Zipcode,State,City,Address,Delivery,Takeout,Outdoor,Parking,Wifi
Roots Handmade Pizza,(773) 645-4949,3.8,Average $40 for two people (approx.),60622,IL,Chicago,1924 W. Chicago Avenue,Yes,Yes,Yes,No,No
Wasabi,(773) 227-8180,3.6,Average $30 for two people (approx.),60647,IL,Chicago,2115 N Milwaukee Avenue,No,Yes,No,No,No
Bluestone,(847) 424-0420,3.7,Average $40 for two people (approx.) with alcohol,60201,IL,Chicago,1932 Central Street,No,Yes,Yes,No,No
Kansaku,(847) 864-4386,4,Average $55 for two people (approx.)Lunch menu $30 for two people (approx.),60201,IL,Evanston,1514 Sherman Avenue,Yes,Yes,Yes,No,No
Club Lago,(312) 951-2849,3.8,Average $45 for two people (approx.),60610,IL,Chicago,331 W Superior Street,No,Yes,Yes,No,No
Chant,(773) 324-1999,3.6,Average $50 for two people (approx.) with alcohol,60615,IL,Chicago,1509 E 53rd Street,Yes,Yes,Yes,No,No
Mr. Beef,(312) 337-8500,3.6,Average $20 for two people (approx.),60610,IL,Chicago,666 N. Orleans Street,No,Yes,No,No,No
P.F. Chang's,(312) 828-9977,3.8,Average $50 for two people (approx.),60611,IL,Chicago,530 N. Wabash Avenue,No,Yes,No,No,No
Turquoise,(773) 549-3523,4.1,Average $40 for two people (approx.)Lunch menu $35 for two people (approx.),60618,IL,Chicago,2147 W. Roscoe Street,Yes,Yes,Yes,No,No
Hema's Kitchen,(773) 338-1627,3.7,Average $30 for two people (approx.),60659,IL,Chicago,2439 W Devon Avenue,Yes,Yes,No,No,No
Tapas Valencia,(312) 842-4444,4,Average $40 for two people (approx.),60605,IL,Chicago,1530 S State Street,No,Yes,No,No,No
D'Agostino's,(773) 477-1822,3.6,Average $30 for two people (approx.),60613,IL,Chicago,1351 W. Addison Street,Yes,Yes,Yes,No,No
Karyn's Cooked,(312) 587-1050,3.8,Average $45 for two people (approx.),60614,IL,Chicago,1901 N. Halsted Street,No,Yes,Yes,No,No
Chicago Prime Italian,(847) 240-1414,3.7,Average $275 for two people (approx.),60173,IL,Chicago,1370 Bank Drive,No,Yes,No,Yes,No
Brick House Tavern + Tap,(630) 963-1104,3.4,Average $40 for two people (approx.) with alcohol,60515,IL,Chicago,1461 Butterfield Road,No,Yes,Yes,No,No
Barnaby's The Family Inn,(847) 498-3900,4,Average $30 for two people (approx.),60062,IL,Chicago,960 Skokie Boulevard,No,Yes,No,No,No
Pastoral Artisan Cheese,(312) 658-1250,3.8,Average $25 for two people (approx.),60601,IL,Chicago,53 E Lake Street,No,Yes,No,No,No
Pizza Capri,(773) 324-7777,3.9,Average $50 for two people (approx.),60615,IL,Chicago,1501 E 53rd Street,Yes,Yes,Yes,No,No
Hofbrauhaus,(847) 671-2739,3.5,Average $55 for two people (approx.),60018,IL,Chicago,5500 Park Place MB Financial Park At Rosemont,No,Yes,Yes,No,No
Sen Sushi Bar,(708) 848-4400,4.8,Average $50 for two people (approx.),60304,IL,Chicago,814 S. Oak Park Avenue,Yes,Yes,No,No,No
Riccardo Trattoria,(773) 549-0038,4,Average $75 for two people (approx.),60614,IL,Chicago,2119 N. Clark Street,No,Yes,No,No,No
Reverie,(312) 467-4141,2.9,Average $55 for two people (approx.)Lunch menu $25 for two people (approx.),60654,IL,Chicago,414 N Orleans Street,No,Yes,Yes,No,No
RA Sushi Bar Restaurant,(630) 627-6800,3.7,Average $75 for two people (approx.) with alcohol,60148,IL,Chicago,310 Yorktown Center,No,Yes,Yes,No,No
Bahama Breeze,(847) 884-7060,3.8,Average $50 for two people (approx.),60173,IL,Chicago,406 E Golf Road,No,Yes,Yes,No,No
Harry Caray's Seventh Inning Stretch,(312) 202-0500,3.4,Average $60 for two people (approx.) with alcohol,60611,IL,Chicago,835 N Michigan Avenue Water Tower Place,No,Yes,No,No,No
Stanley's Kitchen and Tap,(312) 642-0007,3.8,Average $25 for two people (approx.) with alcohol,60614,IL,Chicago,1970 N Lincoln Avenue,No,Yes,No,No,No
Pasta Bowl,(773) 525-2695,4.2,Average $25 for two people (approx.),60614,IL,Chicago,2434 N Clark Street,Yes,Yes,No,No,No
Sushi Para II,(773) 477-3219,3.8,Average $45 for two people (approx.),60614,IL,Chicago,2256 N Clark Street,No,Yes,No,No,No
Chicago's Home of Chicken & Waffles,(773) 536-3300,4.1,Average $35 for two people (approx.),60653,IL,Chicago,3947 S. King Drive,No,Yes,Yes,No,No
25 Degrees,(312) 943-9700,3.9,Average $50 for two people (approx.),60654,IL,Chicago,736 N Clark Street,No,Yes,Yes,No,No
Cooper's Hawk Winery & Restaurant,(630) 887-0123,4.1,Average $60 for two people (approx.),60527,IL,Chicago,510 Village Center Drive,No,Yes,Yes,No,No
Carson's,(312) 280-9200,3.7,Average $90 for two people (approx.)Lunch menu $50 for two people (approx.),60610,IL,Chicago,612 N. Wells Street,No,Yes,Yes,No,No
Stella's Diner,(773) 472-9040,3.8,Average $30 for two people (approx.),60657,IL,Chicago,3042 North Broadway Street,Yes,Yes,Yes,No,No
Pockets,(312) 641-0949,3.4,Average $25 for two people (approx.),60606,IL,Chicago,309 W. Lake Street,Yes,Yes,No,No,No
Fork Chicago,(773) 751-1500,3.6,Average $40 for two people (approx.) with alcohol,60625,IL,Chicago,4600 N Lincoln Avenue,No,Yes,Yes,No,No
Asian Noodle House,(847) 882-9650,4.5,Average $25 for two people (approx.),60169,IL,Schaumburg,844 N Roselle Road,No,Yes,No,No,No
Palermo's 95th,(708) 425-6262,4,Average $45 for two people (approx.),60453,IL,Chicago,4849 W. 95th Street,Yes,Yes,No,No,No
Chicago Prime Steakhouse,(847) 969-9900,3.5,Average $110 for two people (approx.),60173,IL,Chicago,1444 E Algonquin Road,No,Yes,Yes,Yes,No
La Cantina Grill,(312) 842-1911,3.7,Average $40 for two people (approx.),60616,IL,Chicago,1911 S Michigan Avenue,Yes,Yes,Yes,No,No
Stanley's Ale House and Restaurant,(847) 468-8022,3.6,Average $40 for two people (approx.) with alcohol,60177,IL,Chicago,335 N. McLean Boulevard,No,Yes,Yes,No,No
Nosh,(630) 845-1570,4.4,Average $35 for two people (approx.),60134,IL,Chicago,211 James Street,No,Yes,Yes,Yes,No
Gaylord Fine Indian Cuisine,(847) 619-3300,3.5,Average $40 for two people (approx.)Lunch menu $30 for two people (approx.),60173,IL,Chicago,555 Mall Drive,No,Yes,No,No,No
Bittersweet Pastry Cafe,(773) 929-1100,4,Average $25 for two people (approx.)Lunch menu $20 for two people (approx.),60657,IL,Chicago,1114 West Belmont Avenue,No,Yes,No,No,No
Rockit Burger Bar,(773) 645-4400,3.6,Average $35 for two people (approx.) with alcohol,60613,IL,Chicago,3700 N. Clark Street,No,Yes,Yes,No,No
The Bagel,(773) 477-0300,3.8,Average $30 for two people (approx.),60657,IL,Chicago,3107 N. Broadway,Yes,Yes,No,No,No
Bari,(312) 666-0730,4,Average $15 for two people (approx.),60622,IL,Chicago,1120 W. Grand Avenue,Yes,Yes,No,No,No
Hog Wild,(708) 371-9005,4.9,Average $25 for two people (approx.),60445,IL,Midlothian,14933 Pulaski Road,No,Yes,No,No,No
Three Aces,(312) 243-1577,3.9,Average $30 for two people (approx.) with alcohol,60607,IL,Chicago,1321 W. Taylor Street,No,Yes,Yes,No,No
The Fireplace Inn,(312) 664-5264,3.5,Average $50 for two people (approx.),60610,IL,Chicago,1448 N Wells Street,Yes,Yes,Yes,Yes,No
Victory's Banner,(773) 665-0227,3.9,Average $35 for two people (approx.),60618,IL,Chicago,2100 W. Roscoe Street,No,Yes,Yes,No,No
Ariel's Bar & Restaurant,(708) 928-8080,3.2,Average $35 for two people (approx.),60477,IL,Tinley Park,18401 N. Creek Drive,No,Yes,Yes,No,No
Morton's The Steakhouse,(312) 201-0410,3.7,Average $275 for two people (approx.),60601,IL,Chicago,65 E Wacker Place,No,Yes,No,No,No
Hoosier Mama Pie Company,(312) 243-4846,4.2,Average $15 for two people (approx.),60622,IL,Chicago,1618 1/2 Chicago Avenue,No,Yes,Yes,No,No
Gaylord Fine Indian Cuisine,(312) 664-1700,3.7,Average $45 for two people (approx.)Lunch menu $30 for two people (approx.),60611,IL,Chicago,100 E Walton Street Walton Colonnade,No,Yes,No,No,No
Elgin Public House,(847) 468-8810,4,Average $55 for two people (approx.) with alcoholLunch menu $30 for two people (approx.),60120,IL,Chicago,219 E. Chicago Street,No,Yes,No,Yes,No
Mixteco Grill,(773) 868-1601,4.2,Average $60 for two people (approx.),60613,IL,Chicago,1601 W. Montrose Avenue,Yes,Yes,No,No,No
Miller's Ale House,(630) 241-3371,3.6,Average $75 for two people (approx.),60148,IL,Lombard,455 E. Butterfield Road,No,Yes,No,No,No
Jim's Original,(312) 733-7820,4,Average $15 for two people (approx.),60607,IL,Chicago,1250 S Union Avenue,No,Yes,No,No,No
Stax Cafe,(312) 733-9871,3.8,Average $30 for two people (approx.),60607,IL,Chicago,1401 W. Taylor Street,No,Yes,No,No,No
Angelina Ristorante,(773) 935-5933,3.9,Average $65 for two people (approx.),60657,IL,Chicago,3561 N. Broadway Street,No,Yes,No,No,No
Frankie's Pizzeria & Scaloppine,(312) 266-2500,3.9,Average $45 for two people (approx.)Lunch menu $30 for two people (approx.),60611,IL,Chicago,900 Shops,Yes,Yes,No,No,No
The Wormhole Coffee,(773) 661-2468,4.1,Average $10 for two people (approx.),60622,IL,Chicago,1462 N. Milwaukee Avenue,No,Yes,Yes,No,No
Sticky Rice,(773) 588-0133,3.9,Average $30 for two people (approx.)Lunch menu $30 for two people (approx.),60618,IL,Chicago,4018 N. Western Avenue,Yes,Yes,Yes,No,No
Bongo Room,(773) 728-7900,3.8,Average $40 for two people (approx.)Lunch menu $30 for two people (approx.),60640,IL,Chicago,5022 N. Clark Street,No,Yes,Yes,No,No
Mother Hubbard's Sports Pub,(312) 828-0007,3.6,Average $35 for two people (approx.) with alcohol,60654,IL,Chicago,5 W Hubbard Street,No,Yes,No,No,No
The Walnut Room,(312) 781-3139,3.6,Average $40 for two people (approx.),60602,IL,Chicago,Macy's,No,Yes,No,No,No
Andy's Frozen Custard,(847) 864-8009,4.3,Average $15 for two people (approx.),60201,IL,Evanston,719 Church Street,No,Yes,No,No,No
Blue Agave,(312) 335-8900,3.4,Average $40 for two people (approx.) with alcohol,60610,IL,Chicago,1050 N State Street,No,Yes,Yes,No,No
Celtic Knot Public House,(847) 864-1679,4,Average $35 for two people (approx.) with alcohol,60201,IL,Chicago,626 Church Street,No,Yes,Yes,No,No
Egg'lectic Cafe,(847) 577-5552,4,Average $35 for two people (approx.),60008,IL,Chicago,2905 Algonquin Road,No,Yes,No,No,No
Cafe Central,(847) 266-7878,3.7,Average $45 for two people (approx.),60035,IL,Chicago,455 Central Avenue,Yes,Yes,No,No,No
Emmett's Brewing Company,(630) 434-8500,3.7,Average $45 for two people (approx.),60515,IL,Chicago,5200 Main Street,No,Yes,Yes,No,No
Sheffield's,(773) 281-4989,3.7,Average $40 for two people (approx.) with alcohol,60657,IL,Chicago,3258 N. Sheffield Avenue,No,Yes,Yes,No,No
Tre Soldi,(312) 664-0212,3.7,Average $45 for two people (approx.)Lunch menu $35 for two people (approx.),60611,IL,Chicago,212 E Ohio Street,No,Yes,Yes,Yes,No
Burnt Toast,(847) 551-9725,4,Average $25 for two people (approx.),60123,IL,Chicago,2492 N. Randall Road,No,Yes,No,Yes,No
Black Dog Gelato,(773) 235-3116,3.8,Average $15 for two people (approx.),60622,IL,Chicago,859 N. Damen Avenue,No,Yes,Yes,No,No
Semiramis,(773) 279-8900,4.1,Average $25 for two people (approx.),60625,IL,Chicago,4639 N. Kedzie Avenue,Yes,Yes,No,No,No
Fatso's Last Stand,(773) 245-3287,3.5,Average $20 for two people (approx.),60622,IL,Chicago,2258 W. Chicago Avenue,Yes,Yes,Yes,No,No
Mana Food Bar,(773) 342-1742,4.1,Average $40 for two people (approx.),60622,IL,Chicago,1742 W. Division Street,Yes,Yes,Yes,No,No
Sam Buca's Restaurant,(708) 361-1226,3.6,Average $60 for two people (approx.) with alcohol,60463,IL,Chicago,12231 S Harlem Avenue,Yes,Yes,Yes,No,No
Le Peep Restaurant,(847) 328-4880,3.6,Average $25 for two people (approx.),60201,IL,Chicago,827 Church Street,No,Yes,Yes,No,No
Fat Rice,(773) 661-9170,3.6,Average $50 for two people (approx.),60647,IL,Chicago,2957 W Diversey Avenue,No,Yes,No,No,No
Kama Indian Bistro,(708) 352-3300,4,Average $65 for two people (approx.),60525,IL,Chicago,9 S La Grange Road,Yes,Yes,Yes,No,No
Reno,(773) 697-4234,3.5,Average $40 for two people (approx.)Lunch menu $25 for two people (approx.),60647,IL,Chicago,2607 N. Milwaukee Avenue,No,Yes,Yes,No,No
Tandoor Hut,(630) 820-3600,2.9,Average $30 for two people (approx.),60564,IL,Chicago,1301 S. Route 59,No,Yes,No,No,No
Alhambra Palace,(312) 666-9555,3.6,Average $75 for two people (approx.),60607,IL,Chicago,1240 West Randolph Street,No,Yes,Yes,No,No
Happy Elephant,(847) 923-9200,4,Average $35 for two people (approx.),60007,IL,Chicago,1047 Rohlwing Road,No,Yes,No,No,No
Tiny Lounge,(773) 463-0396,3.9,Average $70 for two people (approx.),60618,IL,Chicago,4352 N. Leavitt Street,No,No,No,No,No
Lady Gregory's,(773) 271-5050,3.7,Average $40 for two people (approx.),60640,IL,Chicago,5260 N Clark Street,Yes,Yes,Yes,No,No
Real Urban Barbecue,(224) 770-4227,3.8,Average $35 for two people (approx.),60035,IL,Chicago,610 Central Avenue,Yes,Yes,No,No,No
Heng Wing,(847) 358-3061,3.9,Average $40 for two people (approx.),60067,IL,Chicago,121 W. Palatine Road,No,Yes,No,No,No
Claim Jumper,(630) 932-4290,3.6,Average $60 for two people (approx.),60148,IL,Lombard,92 Yorktown Shopping Center,No,Yes,Yes,No,No
Ba Le Sandwich Shop,(773) 561-4424,4.1,Average $15 for two people (approx.),60640,IL,Chicago,5018 N Broadway Street,Yes,Yes,Yes,No,No
Hot Woks Cool Sushi,(773) 282-1818,4,Average $35 for two people (approx.),60641,IL,Chicago,3930 N. Pulaski Road,Yes,Yes,Yes,No,No
Little Branch Cafe,(312) 360-0101,3.9,Average $30 for two people (approx.),60605,IL,Chicago,1251 S Prairie Avenue,No,Yes,Yes,No,No
Countyline Tavern,(847) 520-7447,2.9,Average $65 for two people (approx.),60089,IL,Chicago,800 W. Lake Cook Road,No,Yes,No,No,No
More,(312) 951-0001,3.7,Average $10 for two people (approx.),60611,IL,Chicago,1 E. Delaware Place,No,Yes,No,No,No
Hannah's Bretzel,(312) 621-1111,3.7,Average $30 for two people (approx.),60602,IL,Chicago,180 W. Washington Street,Yes,Yes,Yes,No,No
Kitsch'n on Roscoe,(773) 248-7372,3.6,Average $35 for two people (approx.),60618,IL,Chicago,2005 W. Roscoe Street,No,Yes,Yes,No,No
Ruxbin,(312) 624-8509,4,Average $90 for two people (approx.),60622,IL,Chicago,851 N Ashland Avenue,No,No,No,No,No
Parts and Labor,(773) 360-7840,3.2,Average $30 for two people (approx.) with alcohol,60647,IL,Chicago,2700 N Milwaukee Avenue,No,Yes,Yes,No,No
Jam 'n Honey,(773) 327-5266,3.7,Average $45 for two people (approx.),60614,IL,Chicago,958 W Webster Avenue,No,Yes,Yes,No,No
J. Alexander's Restaurant,(630) 573-8180,3.9,Average $90 for two people (approx.)Lunch menu $90 for two people (approx.),60523,IL,Chicago,1410 16th Street,No,Yes,No,No,No
Untitled Supper Club,(312) 880-1511,3.7,Average $80 for two people (approx.) with alcohol,60654,IL,Chicago,111 West Kinzie Street,No,No,Yes,No,No
Amarit Thai,(312) 939-1179,3.7,Average $35 for two people (approx.),60605,IL,Chicago,600 S Dearborn Street,Yes,Yes,No,No,No
Stan's Donuts,(773) 360-7386,3.7,Average $15 for two people (approx.),60622,IL,Chicago,1560 N. Damen Avenue,Yes,Yes,No,No,No
Khyber Pass,(708) 445-9032,3.5,Average $40 for two people (approx.)Lunch menu $20 for two people (approx.),60301,IL,Chicago,1031 Lake Street,Yes,Yes,Yes,No,No
Flaco's Tacos,(312) 266-8226,3.7,Average $25 for two people (approx.),60611,IL,Chicago,46 E Chicago Avenue,No,Yes,Yes,No,No
Floriole Cafe & Bakery,(773) 883-1313,3.8,Average $30 for two people (approx.),60614,IL,Chicago,1220 W Webster Avenue,No,Yes,Yes,No,No
Basil Leaf Cafe,(773) 935-3388,3.8,Average $75 for two people (approx.),60614,IL,Chicago,2465 N. Clark Street,Yes,Yes,Yes,No,No
Scooter's Frozen Custard,(773) 244-6415,4.1,Average $15 for two people (approx.),60657,IL,Chicago,1658 W. Belmont Avenue,No,Yes,No,No,No
Kiki's Bistro,(312) 335-5454,3.9,Average $90 for two people (approx.),60610,IL,Chicago,900 N. Franklin Street,No,No,Yes,No,No
Ja' Grill,(773) 752-5375,3.8,Average $45 for two people (approx.) with alcohol,60615,IL,Chicago,1510 E Harper Court,No,Yes,Yes,No,No
Q-BBQ,(708) 482-8700,3.9,Average $40 for two people (approx.),60525,IL,Chicago,70 S. La Grange Road,No,Yes,Yes,No,No
Connie's Pizza,(312) 614-4020,3.8,Average $30 for two people (approx.),60616,IL,Chicago,2373 S. Archer Avenue,Yes,Yes,No,No,No
South Coast,(312) 662-1700,4.4,Average $45 for two people (approx.),60616,IL,Chicago,1700 S. Michigan Avenue,No,Yes,Yes,No,No
Silo Restaurant,(847) 234-6660,4,Average $75 for two people (approx.),60044,IL,Chicago,625 Rockland Road,No,Yes,No,No,No
Charlie Beinlich's,(847) 291-0420,4.2,Average $30 for two people (approx.),60026,IL,Chicago,290 Skokie Boulevard,No,Yes,No,No,No
3rd Coast Cafe & Wine Bar,(312) 649-0730,4,Average $60 for two people (approx.)Lunch menu $40 for two people (approx.),60610,IL,Chicago,1260 N. Dearborn Street,No,Yes,No,No,No
Homer's Ice Cream Company,(847) 251-0477,4.7,Average $25 for two people (approx.),60091,IL,Chicago,1237 Green Bay Road,No,Yes,No,No,No
Sweet Annie's,(708) 799-2421,2.6,Average $25 for two people (approx.),60422,IL,Chicago,1050 Sterling Avenue,No,Yes,Yes,No,No
Ditka's,(630) 572-2200,3.7,Average $70 for two people (approx.),60181,IL,Chicago,2 Mid America Plaza,No,Yes,No,No,No
Momotaro,(312) 733-4818,3.3,Average $65 for two people (approx.),60607,IL,Chicago,820 W Lake Street,No,Yes,No,No,No
Biaggi's Ristorante Italiano,(630) 428-8500,4.2,Average $75 for two people (approx.),60564,IL,Chicago,2752 Showplace Drive,No,Yes,No,No,No
Top Notch Beefburger,(773) 445-7218,4.8,Average $25 for two people (approx.),60643,IL,Chicago,2116 W 95th Street,No,Yes,No,No,No
Bonefish Grill,(847) 534-0679,3.8,Average $40 for two people (approx.),60193,IL,Chicago,180 S Roselle Road,No,Yes,Yes,No,No
Luke's Italian Beef,(312) 939-4204,3.8,Average $20 for two people (approx.),60606,IL,Chicago,215 W Jackson Boulevard,No,Yes,No,No,No
Schwa,(773) 252-1466,3.9,Average $260 for two people (approx.),60622,IL,Chicago,1466 N. Ashland Avenue,No,Yes,No,No,No
L' Appetito,(312) 337-0691,4,Average $25 for two people (approx.),60611,IL,Chicago,875 N Michigan Avenue,No,Yes,No,No,No
Turnabout Pizza,(630) 257-2275,3.6,Average $35 for two people (approx.),60439,IL,Lemont,1000 Main Street,Yes,Yes,No,No,No
Terzo Piano,(312) 443-8650,3.6,Average $75 for two people (approx.),60603,IL,Chicago,159 W. Monroe Street,No,No,No,No,No
Stoney River Steakhouse and Grill,(847) 719-1596,4.1,Average $140 for two people (approx.),60010,IL,Chicago,20504 N Rand Road,No,Yes,No,No,No
Duke of Perth,(773) 477-1741,4.1,Average $35 for two people (approx.) with alcohol,60657,IL,Chicago,2913 North Clark Street,No,Yes,Yes,No,No
Emilio's Tapas Bar,(708) 547-7177,3.8,Average $50 for two people (approx.),60162,IL,Chicago,4100 Roosevelt Road,Yes,Yes,Yes,No,No
Jack Straws Pizza & Sandwiches,(630) 668-2212,3.9,Average $25 for two people (approx.),60187,IL,Wheaton,221 S. Naperville Road,Yes,Yes,Yes,Yes,No
ENO,(312) 321-8738,3.6,Average $30 for two people (approx.) with alcohol,60611,IL,Chicago,505 N Michigan Avenue,No,No,Yes,No,No
Panes Bread Cafe,(773) 665-0972,4.3,Average $25 for two people (approx.),60657,IL,Chicago,3002 N Sheffield Avenue,Yes,Yes,Yes,No,No
The Cubby Bear,(773) 327-1662,3.1,Average $50 for two people (approx.) with alcohol,60613,IL,Chicago,1059 West Addison Street,No,No,Yes,No,No
Nico Osteria - Thomson Hotels Chicago,(312) 994-7100,3.6,Average $55 for two people (approx.),60611,IL,Chicago,1015 N. Rush Street,No,No,Yes,No,No
Siam Rice,(312) 606-9999,3.8,Average $40 for two people (approx.),60606,IL,Chicago,117 N Wells Street,Yes,Yes,No,No,No
Big Bowl,(847) 808-8880,3.8,Average $45 for two people (approx.),60089,IL,Chicago,215 Parkway Drive,No,Yes,No,No,No
Butterfield's Pancake House,(630) 955-0950,3.7,Average $30 for two people (approx.),60563,IL,Chicago,1504 N Naper Boulevard,No,Yes,Yes,No,No
Greek Islands,(630) 932-4545,3.9,Average $45 for two people (approx.),60148,IL,Lombard,300 E 22nd Street,No,Yes,Yes,No,No
Tropicuba,(773) 252-0230,3.2,Average $30 for two people (approx.),60647,IL,Chicago,3000 W. Lyndale Street,No,Yes,No,No,No
Miramar Bistro,(847) 433-1078,3.6,Average $70 for two people (approx.),60040,IL,Highwood,301 Waukegan Avenue,No,No,No,No,No
The Capital Grille,(630) 627-9800,3.8,Average $90 for two people (approx.),60148,IL,Chicago,87 Yorktown Shopping Center,No,Yes,Yes,No,No
Trattoria Isabella,(312) 207-1900,3.4,Average $50 for two people (approx.)Lunch menu $35 for two people (approx.),60661,IL,Chicago,217 North Jefferson Street,No,Yes,Yes,No,No
Bricks,(312) 255-0851,4,Average $75 for two people (approx.),60614,IL,Chicago,1909 N Lincoln Avenue,Yes,Yes,No,No,No
Buffalo Wings and Rings,(630) 548-5021,3.2,Average $40 for two people (approx.),60540,IL,Chicago,1279 Rickert Drive,No,Yes,No,No,No
Emerald Loop,(312) 263-0200,3.6,Average $50 for two people (approx.) with alcohol,60601,IL,Chicago,216 N Wabash Avenue,No,Yes,Yes,No,No
Meatheads,(847) 291-6608,4.6,Average $25 for two people (approx.),60062,IL,Chicago,1036 Willow Road,No,Yes,Yes,No,No
Arturo's Tacos,(773) 772-4944,3.9,Average $30 for two people (approx.),60647,IL,Chicago,2001 N Western Avenue,Yes,Yes,No,No,No
Clark Street Dog,(773) 281-6690,4,Average $25 for two people (approx.),60657,IL,Chicago,3040 N. Clark Street,Yes,Yes,Yes,No,No
Zenwich,(630) 359-5234,4.2,Average $30 for two people (approx.),60126,IL,Elmhurst,416 N. York Road,No,Yes,No,No,No
Thai Bowl,(312) 226-5865,3.7,Average $25 for two people (approx.),60607,IL,Chicago,1049 W. Taylor Street,No,Yes,Yes,No,No
Nia Mediterranean,(312) 226-3110,3.5,Average $55 for two people (approx.),60607,IL,Chicago,803 W. Randolph Street,Yes,Yes,Yes,No,No
Cedar Grill,(630) 241-2525,3.9,Average $25 for two people (approx.),60515,IL,Chicago,2223 Ogden Avenue,No,Yes,No,No,No
Redstone American Grill,(630) 268-0313,3.8,Average $65 for two people (approx.)Lunch menu $45 for two people (approx.),60181,IL,Chicago,13 Lincoln Court,No,Yes,Yes,No,No
Papagalino Pastry Shop & Cafe,(847) 803-9260,3.4,Average $35 for two people (approx.),60714,IL,Chicago,9014 N Milwaukee Avenue,No,Yes,No,No,No
Ricobene's,(312) 225-5555,3.9,Average $25 for two people (approx.),60616,IL,Chicago,252 W 26th Street,Yes,Yes,No,No,No
Kona Grill,(630) 515-8395,3.5,Average $75 for two people (approx.),60523,IL,Chicago,3051 Butterfield Road,No,Yes,Yes,No,No
BopNgrill,(773) 654-3224,3.7,Average $30 for two people (approx.),60626,IL,Chicago,6604 N Sheridan Road,No,Yes,Yes,No,No
Catch 35,(630) 717-3500,3.8,Average $100 for two people (approx.)Lunch menu $50 for two people (approx.),60540,IL,Chicago,35 S. Washington Street,No,Yes,Yes,No,No
Pancho Pistolas,(312) 225-8808,4.3,Average $50 for two people (approx.),60616,IL,Chicago,700 W. 31st Street,Yes,Yes,Yes,No,No
Cindy's,(312) 792-3502,3.1,Average $65 for two people (approx.) with alcohol,60603,IL,Chicago,12 S Michigan Avenue,No,Yes,Yes,No,No
Soul Vegetarian,(773) 224-0104,3.7,Average $25 for two people (approx.),60619,IL,Chicago,205 E. 75th Street,No,Yes,No,No,No
Iguana Cafe,(312) 432-0663,3.7,Average $35 for two people (approx.),60622,IL,Chicago,517 N Halsted Street,No,Yes,No,No,No
P.F. Chang's,(847) 509-8844,3.6,Average $50 for two people (approx.),60062,IL,Northbrook,1819 Lake Cook Road,No,Yes,Yes,No,No
Webster's Wine Bar,(773) 292-9463,4,Average $90 for two people (approx.) with alcohol,60647,IL,Chicago,2601 N. Milwaukee Avenue,No,No,No,No,No
RA Sushi Bar Restaurant,(847) 510-1100,3.5,Average $75 for two people (approx.)Lunch menu $25 for two people (approx.),60026,IL,Chicago,2601 Aviator Lane,No,Yes,Yes,No,No
Noodles in the Pot,(773) 975-6177,4,Average $30 for two people (approx.),60614,IL,Chicago,2453 N. Halsted Street,Yes,Yes,Yes,No,No
Chicago's Busy Burger,(312) 226-7760,3.8,Average $25 for two people (approx.),60607,IL,Chicago,1120 W Taylor Street,No,Yes,Yes,No,No
Caro Mio,(773) 275-5000,3.9,Average $60 for two people (approx.),60640,IL,Chicago,1827 W. Wilson Avenue,Yes,Yes,No,No,No
Simply It Cuisine of Vietnam,(773) 248-0884,3.9,Average $35 for two people (approx.),60614,IL,Chicago,2269 N Lincoln Avenue,Yes,Yes,No,No,No
Freddy's Pizza,(708) 863-9289,4.2,Average $25 for two people (approx.),60804,IL,Chicago,1600 S 61st Avenue,No,Yes,Yes,No,No
Pelago Ristorante,(312) 280-0700,3.8,Average $115 for two people (approx.),60611,IL,Chicago,201 E Delaware Plaza,No,Yes,Yes,No,No
Laredo's Cantina,(847) 685-0673,3.7,Average $30 for two people (approx.),60018,IL,Chicago,9797 W Higgins Road,Yes,Yes,Yes,No,No
Dublin's Bar & Grill,(312) 266-6340,3.9,Average $55 for two people (approx.) with alcohol,60610,IL,Chicago,1030 N State Street,No,Yes,Yes,No,No
Cozy Noodles & Rice,(847) 733-0101,4.5,Average $30 for two people (approx.)Lunch menu $15 for two people (approx.),60201,IL,Chicago,1018 Davis Street,Yes,Yes,Yes,No,No
Markethouse,(312) 224-2200,3.6,Average $50 for two people (approx.),60611,IL,Chicago,611 N. Fairbanks Court,No,Yes,No,No,No
Waffles,(312) 854-8572,3.4,Average $40 for two people (approx.),60605,IL,Chicago,1400 S Michigan Avenue,No,Yes,Yes,No,No
Superdawg Drive-in,(847) 459-1900,3.5,Average $25 for two people (approx.),60090,IL,Wheeling,333 S. Milwaukee Avenue,No,Yes,Yes,No,No
Corner Bakery Cafe,(312) 266-2570,3.6,Average $30 for two people (approx.),60611,IL,Chicago,676 N St. Clair Street,No,Yes,Yes,No,No
Stacked,(708) 422-5555,4,Average $20 for two people (approx.)Lunch menu $25 for two people (approx.),60453,IL,Chicago,5273 W. 95th Street,No,Yes,No,No,No
Wholly Frijoles Mexican Grill,(847) 329-9810,3.9,Average $35 for two people (approx.)Lunch menu $20 for two people (approx.),60712,IL,Lincolnwood,3908 W. Touhy Avenue,No,Yes,Yes,No,No
Rocks Lakeview,(773) 472-0493,4,Average $50 for two people (approx.) with alcohol,60657,IL,Chicago,3463 N. Broadway Street,Yes,Yes,Yes,No,No
