Restaurant Name,Phone,Rate,Price,Zipcode,State,City,Address,Has Delivery,Has Take-out,Has outdoor seating,Parking
Umami Burger -  Chicago,(773) 423-2005,4,$$,60622,IL,Chicago,1480 N Milwaukee Ave,No,Yes,No,Street
Nellie’s,(773) 252-5520,4,$$,60622,IL,Chicago,2458 W Division St,Yes,Yes,No,Street
Cafe Mustache,(773) 687-9063,4,$,60647,IL,Chicago,2313 N Milwaukee Ave,No,Yes,No,Street
Blackwood BBQ,(312) 621-9663,4,$,60606,IL,Chicago,307 W Lake St,No,Yes,No,"Garage, Street"
Cozy Corner Restaurant & Pancake House,(773) 276-2215,4,$,60647,IL,Chicago,2294 N Milwaukee Ave,No,Yes,No,"Street, Private Lot"
Cafe Urbano,(773) 478-1000,4_half,$,60618,IL,Chicago,4176 N Elston Ave,Yes,Yes,No,Street
Patino’s Grill,(773) 280-9562,5,$,60618,IL,Chicago,2943 W Irving Park Rd,No,Yes,No,Street
Lemming’s Tavern,(773) 862-1688,4,$,60647,IL,Chicago,1850 N Damen Ave,No,No,No,Street
Next Door Cafe,(773) 472-3667,4,$,60614,IL,Chicago,659 W Diversey Pkwy,No,Yes,No,Street
Noon O Kabab,(773) 279-8899,4_half,$$,60625,IL,Chicago,4661 N Kedzie Ave,Yes,Yes,No,"Street, Private Lot"
Benjyehuda,(312) 408-2365,4,$,60607,IL,Chicago,212 W Van Buren,Yes,Yes,No,Street
Buzz: Killer Espresso,(773) 366-8377,4,$$,60647,IL,Chicago,1644 N Damen Ave,No,Yes,Yes,Street
Earls Kitchen + Bar,(312) 929-3952,4,$$,60642,IL,Chicago,1538 N Clybourn Ave,No,Yes,Yes,Garage
Enoteca Roma Ristorante,(773) 772-7700,4,$$,60622,IL,Chicago,2146 W Division St,Yes,Yes,Yes,"Valet, Street"
Allende Restaurant,(773) 477-7114,4,$,60614,IL,Chicago,2408 N Lincoln Ave,No,Yes,No,Street
DMK Burger Bar,(773) 360-8686,4,$$,60657,IL,Chicago,2954 N Sheffield Ave,No,Yes,No,Street
Spotted Monkey,(312) 285-2303,4_half,$$,60606,IL,Chicago,335 S Franklin St,Yes,Yes,No,No
Groundswell Coffee Roasters,(773) 754-7590,4_half,$,60625,IL,Chicago,4839 N Damen Ave,No,No,Yes,Street
Toast,(773) 772-5600,4,$$,60647,IL,Chicago,2046 N Damen Ave,No,Yes,Yes,Street
Galata Turkish Restaurant,(312) 733-5900,4_half,$$,60607,IL,Chicago,717 W Maxwell St,Yes,Yes,Yes,Street
Mary’s Taqueria,(312) 491-9999,4_half,$,60616,IL,Chicago,1901 S Canalport Ave,No,Yes,No,Street
Sushi O Sushi,(773) 871-4777,4,$$,60614,IL,Chicago,346 W Armitage Ave,Yes,Yes,Yes,Street
Community Tavern,(773) 283-6080,4_half,$$$,60641,IL,Chicago,4038 N Milwaukee Ave,No,Yes,No,Street
Blackwood BBQ,(312) 631-3431,4_half,$,60661,IL,Chicago,28 S Clinton St,Yes,Yes,Yes,Street
The Monkey’s Paw,(773) 413-9314,4,$$,60614,IL,Chicago,2524 N Southport Ave,No,Yes,Yes,Street
Shawarma Garden,(773) 904-8897,4,$,60622,IL,Chicago,1951 W Division St,Yes,Yes,No,Street
Union Sushi + Barbeque Bar,(312) 662-4888,4,$$,60654,IL,Chicago,230 W Erie St,Yes,Yes,No,Street
Anna’s Asian Grill & Sushi Bar,(773) 975-3404,4_half,$$,60613,IL,Chicago,1804 W Irving Park Rd,Yes,Yes,Yes,Street
Mo’s Asian Bistro,(872) 903-0848,4_half,$$,60614,IL,Chicago,1353 W Fullerton Ave,Yes,Yes,No,"Street, Private Lot"
Tortorice’s Pizza,(312) 243-4444,4,$$,60622,IL,Chicago,1746 W Grand Ave,Yes,Yes,No,"Street, Private Lot"
Nico Osteria,(312) 994-7100,4,$$$,60611,IL,Chicago,1015 N Rush St,No,No,Yes,"Valet, Street"
Dimo’s Pizza,(773) 525-4580,4,$,60647,IL,Chicago,1615 N Damen Ave,Yes,Yes,No,Street
Table,(773) 486-8525,4,$$,60647,IL,Chicago,2728 W Armitage Ave,No,Yes,Yes,Street
Shoes Pub,(773) 871-4640,4,$,60614,IL,Chicago,1134 W Armitage Ave,No,No,No,Street
Kinmont,(312) 915-0011,4,$$$,60654,IL,Chicago,419 W Superior,No,Yes,Yes,Street
Strack & Van Til,(773) 252-6400,4,$$,60647,IL,Chicago,2627 N Elston Ave,No,Yes,No,Private Lot
Chick-fil-A,(312) 266-8888,4,$,60611,IL,Chicago,30 E Chicago Ave,No,Yes,Yes,Street
Floriole Cafe & Bakery,(773) 883-1313,4,$$,60614,IL,Chicago,1220 W Webster Ave,No,Yes,Yes,Street
Yolk River North,(312) 787-2277,4,$$,60654,IL,Chicago,747 N Wells,No,Yes,No,Street
Happy Camper,(312) 344-1634,4,$$,60610,IL,Chicago,1209 N Wells St,Yes,Yes,Yes,Street
Little Bad Wolf,(773) 942-6399,4_half,$$,60660,IL,Chicago,1541 W Bryn Mawr Ave,No,No,Yes,Street
Silli Kori,(773) 384-5352,4_half,$$,60622,IL,Chicago,2053 W Division St,Yes,Yes,Yes,Street
Bombacigno’s J & C Inn,(312) 663-4114,4_half,$,60607,IL,Chicago,558 W Van Buren St,No,Yes,No,Street
Johnnie’s Snack Shop,(312) 226-7769,4,$,60661,IL,Chicago,160 N Halsted St,Yes,Yes,No,"Street, Private Lot"
Bodhi Thai,(312) 492-8424,4_half,$$,60616,IL,Chicago,1800 S Jefferson,Yes,Yes,Yes,Street
Sticky Rice,(773) 588-0133,4,$$,60618,IL,Chicago,4018 N Western Ave,Yes,Yes,No,Street
Caffe Gelato,(773) 227-7333,4,$,60622,IL,Chicago,2034 W Division St,No,Yes,Yes,Private Lot
Chicago Line Cruises,(312) 527-2002,4_half,,60611,IL,Chicago,465 N Mcclurg Ct,No,No,No,Garage
Double Door,(773) 489-3160,4,$$,60622,IL,Chicago,1572 N Milwaukee Ave,No,No,No,Street
Bricks,(312) 255-0851,4,$$,60614,IL,Chicago,1909 N Lincoln Ave,Yes,Yes,No,Street
The Chipp Inn,(312) 421-9052,4,$,60622,IL,Chicago,832 N Greenview Ave,No,No,No,Street
BenjYehuda,(312) 726-9653,4,$,60603,IL,Chicago,10 S LaSalle St,Yes,Yes,No,Street
Francesca’s on Taylor,(312) 829-2828,4,$$,60607,IL,Chicago,1400 W Taylor St,No,Yes,No,"Valet, Street"
Carnivale,(312) 850-5005,4,$$$,60661,IL,Chicago,702 W Fulton Market,No,Yes,Yes,Valet
Kerelys Cuban Cafe & Pizzeria,(773) 394-4040,4_half,$,60618,IL,Chicago,2934 N Milwaukee Ave,Yes,Yes,No,"Street, Private Lot"
The Grind,,4_half,$,60625,IL,Chicago,4613 N Lincoln Ave,No,Yes,Yes,Street
The Allis,(312) 521-8000,4,$$,60607,IL,Chicago,113-125 N Green St,No,No,Yes,"Valet, Street"
Bistro Campagne,(773) 271-6100,4,$$$,60625,IL,Chicago,4518 N Lincoln Ave,No,Yes,Yes,Street
Beef Shack,(773) 472-2333,4_half,$,60657,IL,Chicago,1056 W Belmont Ave,Yes,Yes,No,Street
Crown Fountain,(312) 742-1168,4_half,,60602,IL,Chicago,201 E Randolph St,No,No,No,No
Cafe Con Leche,(773) 289-4274,4,$$,60647,IL,Chicago,2714 N Milwaukee Ave,Yes,Yes,Yes,"Street, Private Lot"
George’s Hot Dogs,(773) 227-4034,4,$,60647,IL,Chicago,1876 N Damen Ave,Yes,Yes,Yes,Street
Tiztal Café,(773) 271-4631,4,$$,60640,IL,Chicago,4631 N Clark St,No,Yes,Yes,Street
Sunda,(312) 644-0500,4,$$$,60654,IL,Chicago,110 W Illinois St,Yes,Yes,Yes,Valet
The Orbit Room,(773) 588-8540,4,$$,60618,IL,Chicago,2959 N California Ave,No,Yes,Yes,Street
Headquarters Beercade River North,(312) 291-8735,4,$$,60610,IL,Chicago,213 W Institute Pl,No,Yes,Yes,Street
Urban Vegan,(773) 404-1109,4,$$,60613,IL,Chicago,1605 W Montrose Ave,Yes,Yes,No,Street
Happy Village,(773) 486-1512,4,$,60622,IL,Chicago,1059 N Wolcott Ave,No,No,Yes,Street
Tom Yum Cafe,(773) 270-5646,4_half,$,60657,IL,Chicago,608 W Barry Ave,Yes,Yes,No,Street
Birreria Reyes de Ocotlan,(312) 733-2613,4_half,$,60608,IL,Chicago,1322 W 18th St,No,Yes,No,Street
Shokran Moroccan Restaurant,(773) 427-9130,4_half,$$,60641,IL,Chicago,4027 W Irving Park,No,Yes,No,Street
Isla Pilipina,(773) 271-2988,4,$$,60625,IL,Chicago,2501 W Lawrence Ave,No,Yes,No,Private Lot
Blue Sky Bakery & Cafe,(773) 880-9910,4_half,$,60613,IL,Chicago,3720 N Lincoln Ave,No,Yes,No,No
The Bad Apple,(773) 360-8406,4,$$,60618,IL,Chicago,4300 N Lincoln Ave,No,Yes,Yes,Street
The Green Lady,(773) 525-5571,4,$$,60657,IL,Chicago,3328 N Lincoln Ave,No,No,No,Street
Aloha Eats,(773) 935-6828,4,$,60614,IL,Chicago,2534 N Clark St,Yes,Yes,No,Street
Butterfly Sushi Bar & Thai Cuisine,(312) 563-5555,4,$$,60642,IL,Chicago,1139 W Grand Ave,Yes,Yes,Yes,Street
Taqueria El Asadero,(773) 583-5563,4,$,60618,IL,Chicago,2213 W Montrose Ave,No,Yes,No,Street
El Taco Feliz Taqueria,(773) 283-4377,4_half,$,60641,IL,Chicago,5439 W Addison St,Yes,Yes,Yes,Street
Cleos,(312) 243-5600,4,$$,60622,IL,Chicago,1935 W Chicago Ave,No,Yes,Yes,Street
Pierrot Gourmet,(312) 573-6749,4,$$,60611,IL,Chicago,108 E Superior St,No,Yes,Yes,Street
Summer House,(773) 634-4100,4,$$,60614,IL,Chicago,1954 N Halsted St,No,Yes,Yes,Valet
Herb,(773) 944-9050,4_half,$$$,60640,IL,Chicago,5424 N Broadway St,No,Yes,No,Street
Esencia Urban Kitchen,(773) 472-8553,4,$$,60657,IL,Chicago,3351 N Broadway St,No,Yes,Yes,Street
Chicago Bagel Authority,(773) 248-9606,4,$,60614,IL,Chicago,953 W Armitage Ave,Yes,Yes,Yes,Street
Osteria Via Stato,(312) 642-8450,4,$$,60654,IL,Chicago,620 N State St,Yes,Yes,Yes,"Valet, Garage, Street, Validated"
Mayan Palace Mexican Cuisine,(773) 935-4200,4,$$,60614,IL,Chicago,2703 N Halsted St,No,Yes,Yes,Street
Macello,(312) 850-9870,4,$$,60607,IL,Chicago,1235 W Lake St,Yes,Yes,Yes,"Valet, Street"
Oasis Cafe,(312) 443-9534,4,$,60602,IL,Chicago,21 N Wabash Ave,No,Yes,No,Street
Rosebud Steakhouse,(312) 397-1000,4,$$$,60611,IL,Chicago,192 E Walton Pl,Yes,Yes,No,Valet
Morgan Street Cafe,(312) 850-0234,4,$,60607,IL,Chicago,111 S Morgan St,Yes,Yes,Yes,Street
Chez Delisay’s Cajun Cuisine,(872) 806-0986,5,$$,60626,IL,Chicago,6621 N Clark St,No,Yes,No,Street
Bartoli’s Pizzeria,(773) 248-0455,4,$,60613,IL,Chicago,1955 W Addison St,Yes,Yes,No,Street
Sai Cafe,(773) 472-8080,4,$$,60614,IL,Chicago,2010 N Sheffield Ave,Yes,Yes,No,Street
Meatheads,(773) 525-5300,4,$$,60618,IL,Chicago,3304 N Western Ave,No,Yes,No,Private Lot
Northdown Café and Taproom,(773) 697-7578,4,$$,60657,IL,Chicago,3244 N Lincoln Ave,No,Yes,No,Street
Timber Lanes,(773) 549-9770,4_half,$,60613,IL,Chicago,1851 W Irving Park Rd,No,No,No,Street
Seoul Taco,(312) 265-1607,4_half,$,60654,IL,Chicago,738 N Clark St,No,Yes,No,Street
Lucia’s Gourmet Italian Cuisine,(773) 292-9700,4,$$,60622,IL,Chicago,1825 W North Ave,No,Yes,Yes,Street
Cherry Circle Room,(312) 792-3515,4,$$$,60603,IL,Chicago,12 S Michigan Ave,No,No,No,"Valet, Garage, Street"
Sable,(312) 755-9704,4,$$,60654,IL,Chicago,505 N State St,No,Yes,Yes,Valet
Kingsbury Street Cafe,(312) 280-1718,4,$$,60642,IL,Chicago,1523 N Kingsbury St,No,Yes,Yes,"Valet, Street, Validated"
Bittersweet Pastry Shop,(773) 929-1100,4,$$,60657,IL,Chicago,1114 W Belmont Ave,Yes,Yes,No,Street
The Jibarito Stop,(312) 988-0585,4_half,$,60608,IL,Chicago,1646 W 18th St,Yes,Yes,No,Street
Primos Chicago Pizza Pasta,(312) 243-1052,4,$,60607,IL,Chicago,816 W Van Buren St,Yes,Yes,No,Street
25 Degrees,(312) 943-9700,4,$$,60654,IL,Chicago,736 N Clark St,No,Yes,Yes,Street
Altiro Latin Fusion - Roscoe,(773) 935-4000,4_half,$$$,60618,IL,Chicago,2116 W Roscoe St,No,Yes,Yes,No
Luke’s Lobster,,4,$$,60602,IL,Chicago,134 N LaSalle St,Yes,Yes,Yes,Street
La Cocina,(773) 588-5799,4,$,60618,IL,Chicago,2901 N Kedzie Ave,Yes,Yes,No,Street
Rose’s Lounge,(773) 327-4000,4,$,60614,IL,Chicago,2656 N Lincoln Ave,No,No,No,Street
Tango Sur,(773) 477-5466,4,$$,60613,IL,Chicago,3763 N Southport Ave,No,Yes,Yes,Street
White Oak Tavern & Inn,(773) 248-0200,4,$$,60614,IL,Chicago,1200 W Webster Ave,No,Yes,Yes,Street
Buzz Bait Taqueria,(312) 664-2899,4,$$,60611,IL,Chicago,1529 N Wells St,No,Yes,Yes,Street
Gaslight Coffee Roasters,,4,$,60647,IL,Chicago,2385 N Milwaukee Ave,No,Yes,No,Street
M2 Cafe,(312) 265-1824,4_half,$,60607,IL,Chicago,850 W Jackson,No,Yes,No,Street
Andorka’s Sandwich Shop,(312) 763-6916,4_half,$,60608,IL,Chicago,2110 S Halsted St,Yes,Yes,No,Street
Belly Shack,(773) 252-1414,4,$$,60647,IL,Chicago,1912 N Western Ave,Yes,Yes,No,Street
Perennial Virant,(312) 981-7070,4,$$$,60614,IL,Chicago,1800 N Lincoln Ave,No,Yes,Yes,"Valet, Street"
The Warehouse Bar & Pizzeria Chicago,(773) 661-6454,4_half,$$,60614,IL,Chicago,1419 W Fullerton Ave,Yes,Yes,Yes,Street
Protein Bar,(312) 527-0450,4,$$,60654,IL,Chicago,352 N Clark,Yes,Yes,Yes,Street
Ten Cat Tavern,(773) 935-5377,4,$,60613,IL,Chicago,3931 N Ashland Ave,No,No,Yes,Street
NoMI Kitchen,(312) 239-4030,4,$$$$,60611,IL,Chicago,800 N Michigan Ave,No,No,Yes,"Valet, Validated"
Burger Bar Chicago - Lincoln Park,(312) 255-0055,4,$$,60642,IL,Chicago,1578 N Clybourn Ave,Yes,Yes,Yes,"Valet, Street"
Tea’se Tea Shoppe,(773) 599-4136,5,$,60634,IL,Chicago,5755 W Irving Park Rd,No,Yes,No,Street
Si-Pie Pizzeria,(773) 360-1862,4_half,$,60657,IL,Chicago,3477 N Broadway ST,Yes,Yes,No,Street
Cafe Colao,(773) 276-1780,4,$,60622,IL,Chicago,2638 W Division St,No,Yes,Yes,Street
Mirai Sushi,(773) 862-8500,4,$$$,60622,IL,Chicago,2020 W Division St,Yes,Yes,Yes,"Valet, Street"
North Pond,(773) 477-5845,4,$$$$,60614,IL,Chicago,2610 N Cannon Dr,No,No,No,"Valet, Street"
ZED451,(312) 266-6691,4,$$$,60654,IL,Chicago,739 N Clark St,No,No,Yes,Valet
Blue Door Kitchen & Garden,(312) 573-4000,4,$$,60610,IL,Chicago,52 W Elm St,No,Yes,Yes,"Valet, Street"
Sweet Maple Cafe,(312) 243-8908,4,$$,60607,IL,Chicago,1339 W Taylor St,No,Yes,No,"Street, Private Lot"
Rossi’s Liquors,(312) 644-5775,4,$,60654,IL,Chicago,412 N State St,No,No,No,Street
John Hancock Center,(312) 751-3680,4,,60611,IL,Chicago,875 N Michigan Ave,No,No,No,No
Devil Dawgs,(773) 281-4300,4,$,60614,IL,Chicago,2147 N Sheffield Ave,No,Yes,Yes,Street
Afghan Kabob,(773) 427-5041,4_half,$$,60641,IL,Chicago,4040 W Montrose Ave,Yes,Yes,No,Street
Grange Hall Burger Bar,(312) 491-0844,4,$$,60607,IL,Chicago,844 W Randolph St,Yes,Yes,Yes,"Valet, Street"
The Twisted Vine Chicago,(773) 388-0952,4_half,$$,60657,IL,Chicago,3530 N  Halsted St,No,No,No,Street
Blaze Fast-Fire’d Pizza,(312) 255-1290,4,$,60611,IL,Chicago,227 E Ontario St,No,Yes,Yes,Street
Dinkel’s Bakery,(773) 281-7300,4,$,60657,IL,Chicago,3329 N Lincoln Ave,No,Yes,No,Street
L’Appetito,(312) 787-9881,4,$,60611,IL,Chicago,30 E Huron St,No,Yes,Yes,Street
Taqueria El Tapatio,(773) 278-1468,5,$,60639,IL,Chicago,4238 W Fullerton Ave,No,Yes,No,No
The Eastman Egg Company,(312) 384-1011,4,$,60606,IL,Chicago,23 N Wacker Dr,Yes,Yes,No,Street
Le Colonial,(312) 255-0088,4,$$$,60611,IL,Chicago,937 N Rush St,No,Yes,Yes,Valet
Mythos Greek Taverna,(773) 334-2000,4,$$,60618,IL,Chicago,2030 W Montrose Ave,No,Yes,Yes,Street
42 grams,,4_half,$$$$,60640,IL,Chicago,4662 N Broadway,No,No,No,Street
Rickshaw Republic,(773) 697-4750,4,$$,60614,IL,Chicago,2312 N Lincoln Ave,Yes,Yes,No,"Garage, Street"
Ola’s Liquor,(773) 384-7250,4_half,$,60622,IL,Chicago,947 N Damen Ave,No,Yes,No,Street
Geja’s Cafe,(773) 281-9101,4,$$$,60614,IL,Chicago,340 W Armitage Ave,Yes,Yes,No,"Valet, Street"
Friends Sushi,(312) 787-8998,4,$$,60611,IL,Chicago,710 N Rush St,Yes,Yes,Yes,Street
Francesca’s Cafe,(630) 407-4641,4_half,$,60622,IL,Chicago,852 N Damen Ave,No,Yes,Yes,Street
Habana Libre Restaurant,(312) 243-3303,4,$$,60642,IL,Chicago,1440 W Chicago Ave,Yes,Yes,Yes,Street
Farmhouse,(312) 280-4960,4,$$,60654,IL,Chicago,228 W Chicago Ave,No,Yes,Yes,Street
Fahlstrom’s Fresh Fish Market,(773) 281-6000,4,$$,60657,IL,Chicago,1258 W Belmont Ave,No,Yes,Yes,Street
Templestowe Pub,(773) 681-0341,4_half,$,60618,IL,Chicago,3135 W Montrose,No,No,No,Street
Gus’s World Famous Fried Chicken,(312) 733-1971,4,$$,60607,IL,Chicago,847 West Fulton Market,No,Yes,Yes,Street
Gyu-Kaku Japanese BBQ,(312) 982-2840,4,$$,60607,IL,Chicago,1364 W Randolph St,No,No,No,Street
Sushi Dokku,(312) 455-8238,4,$$,60607,IL,Chicago,823 W Randolph St,Yes,Yes,Yes,"Valet, Street"
Paddy Long’s,(773) 290-6988,4,$$,60614,IL,Chicago,1028 W Diversey Pkwy,No,Yes,Yes,Street
Bow Truss Coffee Roasters River North,(312) 222-1306,4,$$,60654,IL,Chicago,406 N Wells St,No,Yes,No,Street
Letizia’s Natural Bakery,(773) 342-1011,4,$,60622,IL,Chicago,2144 W Division St,Yes,Yes,Yes,Street
El Rinconcito Cubano,(773) 489-4440,4_half,$$,60647,IL,Chicago,3238 W Fullerton Ave,No,Yes,No,Street
Weegee’s Lounge,(773) 384-0707,4,$$,60647,IL,Chicago,3659 W Armitage Ave,No,No,Yes,Street
Stella Barra Pizzeria,(773) 634-4101,4,$$,60614,IL,Chicago,1954 N Halsted St,No,Yes,Yes,"Valet, Street"
Devon Seafood Grill,(312) 440-8660,4,$$$,60611,IL,Chicago,39 E Chicago Ave,No,Yes,No,Valet
Mart Anthony’s Italian Restaurant,(312) 421-3477,4,$$,60642,IL,Chicago,1200 W Hubbard St,Yes,Yes,Yes,"Valet, Street"
Whirlaway Lounge,(773) 276-6809,4,$,60647,IL,Chicago,3224 W Fullerton Ave,No,No,No,Street
Silom 12,(773) 489-1212,4,$$,60647,IL,Chicago,1846-48 N Milwaukee Ave,Yes,Yes,No,Street
D O C Wine Bar,(773) 883-5101,4,$$,60614,IL,Chicago,2602 N Clark St,No,No,No,Street
LD Pho,(773) 961-8551,4_half,$$,60625,IL,Chicago,4722 N Kedzie Ave,Yes,Yes,No,Street
The Dearborn,(312) 384-1242,4_half,$$,60602,IL,Chicago,145 N Dearborn St,No,Yes,No,Garage
ORD Pizzeria,(773) 327-9200,4_half,$$,60613,IL,Chicago,1607 W Montrose Ave,Yes,Yes,Yes,Street
Allium,(312) 799-4900,4,$$$,60611,IL,Chicago,120 E Delaware Pl,No,No,No,Valet
Izakaya Mita,(773) 799-8677,4,$$,60647,IL,Chicago,1960 N Damen Ave,No,Yes,No,"Valet, Street"
Cole’s,(773) 276-5802,4,$,60647,IL,Chicago,2338 N Milwaukee Ave,No,No,No,Street
Hachi’s Kitchen,(773) 276-8080,4,$$,60647,IL,Chicago,2521 N California Ave,Yes,Yes,Yes,Street
Alliance Bakery & Cafe,(773) 278-0366,4,$,60622,IL,Chicago,1736 W Division St,No,Yes,Yes,Street
Compass Bar,(773) 248-3230,4,$$,60614,IL,Chicago,433 W Diversey Pkwy,Yes,Yes,Yes,Street
Da Rae Jung,(773) 907-9155,4_half,$$,60625,IL,Chicago,5220 N Lincoln Ave,No,Yes,No,Private Lot
Kiki’s Bistro,(312) 335-5454,4,$$$,60610,IL,Chicago,900 N Franklin St,No,Yes,Yes,"Valet, Street"
Kabobi Grill,(773) 583-1400,4_half,$$,60625,IL,Chicago,4748 N Kedzie Ave,Yes,Yes,No,Street
Bar Takito,(312) 888-9485,4,$$,60607,IL,Chicago,201 N Morgan St,No,No,Yes,"Valet, Street"
Julius Meinl,(773) 883-1862,4,$$,60613,IL,Chicago,3601 N Southport Ave,No,Yes,Yes,Street
Starbucks,(773) 281-6272,4_half,$,60618,IL,Chicago,2023 W Roscoe St,No,Yes,Yes,Street
Chief O’Neill’s Pub & Restaurant,(773) 583-3066,4,$$,60618,IL,Chicago,3471 N Elston Ave,Yes,Yes,Yes,Street
Danny’s Egghead Diner,(773) 857-0171,4,$$,60618,IL,Chicago,2012 W Irving Park Rd,Yes,Yes,No,Street
Tortoise Supper Club,(312) 755-1700,4,$$$,60654,IL,Chicago,350 N State St,No,Yes,Yes,Valet
Crosby’s Kitchen,(773) 883-2525,4,$$,60657,IL,Chicago,3455 N Southport Ave,No,Yes,Yes,Street
Dollop Lakeview,(773) 661-9341,4,$,60657,IL,Chicago,824 W Belmont Ave,No,Yes,No,Street
Fabcakes,(312) 397-3300,4,$,60654,IL,Chicago,714 N Wells St,No,Yes,Yes,Street
George Street Pub,(773) 661-6635,4,$$,60657,IL,Chicago,2858 N Halsted St,No,No,Yes,Street
Max’s Take Out,(312) 553-0170,4,$,60603,IL,Chicago,20 E Adams St,Yes,Yes,No,"Garage, Street"
Milk Room,(312) 792-3535,4_half,$$$$,60603,IL,Chicago,12 S Michigan,No,No,No,"Valet, Garage, Street, Validated"
Original Pancake House,(312) 642-7917,4,$$,60611,IL,Chicago,22 E Bellevue Pl,No,Yes,Yes,Street
Hakka Bakka,(872) 802-3968,4,$,60614,IL,Chicago,1251 W Fullerton Ave,Yes,Yes,No,Street
Shiawase Restaurant,(773) 883-8888,4_half,$$,60657,IL,Chicago,3422 N Broadway St,Yes,Yes,Yes,Street
MingHin Cuisine,(312) 228-1333,4,$$,60601,IL,Chicago,333 E Benton Pl,Yes,Yes,Yes,Validated
Jubilee Juice & Grill,(312) 491-8500,4,$$,60661,IL,Chicago,140 N Halsted St,Yes,Yes,No,Street
Kim & Carlo’s Hot Dog Stand,,4_half,$,60605,IL,Chicago,1400 S Lake Shore Dr,No,Yes,Yes,Street
Hash,(773) 661-2964,4,$$,60622,IL,Chicago,1357 N Western Ave,Yes,Yes,Yes,Street
Riccardo Trattoria,(773) 549-0038,4,$$$,60614,IL,Chicago,2119 N Clark St,No,Yes,No,Valet
River Roast,(312) 822-0100,4,$$,60654,IL,Chicago,315 N La Salle Dr,Yes,Yes,Yes,Valet
El Taco Veloz,(312) 738-0363,4,$,60622,IL,Chicago,1745 W Chicago Ave,No,Yes,No,Street
Koko’s Mediterranean Grille,(312) 988-0088,4,$,60622,IL,Chicago,1760 W Chicago Ave,Yes,Yes,Yes,Street
Tiny Lounge,(773) 463-0396,4,$$,60618,IL,Chicago,4352 N Leavitt St,No,Yes,Yes,Street
The Book Cellar,(773) 293-2665,4,$$,60625,IL,Chicago,4736-38 N Lincoln Ave,No,No,No,Street
Osteria La Madia,(312) 329-0400,4,$$,60654,IL,Chicago,59 W Grand Ave,Yes,Yes,No,"Valet, Street"
Morton’s The Steakhouse,(312) 266-4820,4,$$$$,60610,IL,Chicago,1050 N. State St.,No,No,No,Valet
Patsy’s Place,(773) 248-2825,4,$$,60657,IL,Chicago,2825 N Lincoln Ave,No,Yes,Yes,Street
Carniceria Guanajuato,(773) 267-7739,4_half,$,60618,IL,Chicago,3140 N California Ave,No,Yes,No,"Street, Private Lot"
Lou Malnati’s Pizzeria,(312) 243-4000,4,$$,60607,IL,Chicago,1235 W Randolph St,Yes,Yes,Yes,"Street, Private Lot"
Nami Sushi Bar,(872) 241-4407,4_half,$$,60613,IL,Chicago,1828 W Montrose Ave,Yes,Yes,No,Street
Charleston,(773) 489-4757,4,$$,60647,IL,Chicago,2076 N Hoyne Ave,No,No,No,Street
New City Moving,(800) 733-6644,5,,60647,IL,Chicago,2358 N Damen Ave,No,No,No,No
Fat Willy’s Rib Shack,(773) 782-1800,4,$$,60647,IL,Chicago,2416 W Schubert Ave,Yes,Yes,Yes,Street
Farm Bar Lakeview,(773) 281-2599,4,$$,60657,IL,Chicago,1300 W Wellington Ave,Yes,Yes,No,Street
O’Cha Thai Cuisine,(773) 235-6242,4,$$,60647,IL,Chicago,2062 N Damen Ave,Yes,Yes,No,Street
Sunset Pho Caffe,(773) 275-2327,4_half,$$,60659,IL,Chicago,5726 N Western Ave,Yes,Yes,Yes,Street
Rubi’s at the New Maxwell Street Market,(773) 318-9526,4_half,$,60607,IL,Chicago,800 S DesPlaines St,No,Yes,Yes,"Garage, Street"
Frasca,(773) 248-5222,4,$$,60657,IL,Chicago,3358 N Paulina St,No,Yes,Yes,Street
Royal Thai Restaurant,(773) 509-0007,4,$,60618,IL,Chicago,2209 W Montrose Ave,Yes,Yes,No,Street
Las Tablas Colombian Steakhouse,(773) 871-2414,4,$$,60657,IL,Chicago,2942 N Lincoln Ave,No,Yes,No,Street
Fat Rice,(773) 661-9170,4,$$,60647,IL,Chicago,2957 W Diversey Ave,No,No,Yes,Street
Style Matters,(773) 278-3467,5,,60612,IL,Chicago,2324 W Fulton,No,No,No,No
O’s Tap,(773) 342-8945,5,$,60647,IL,Chicago,2044 N Western Ave,No,No,No,No
Azteca Grill,(773) 857-6565,4,$,60613,IL,Chicago,3731 N Clark St,Yes,Yes,No,Street
Spacca Napoli,(773) 878-2420,4,$$,60640,IL,Chicago,1769 W Sunnyside Ave,No,No,Yes,Street
First Draft,(312) 461-1062,4,$$,60605,IL,Chicago,649 S Clark St,No,Yes,No,Garage
Bryn Mawr Breakfast Club,(872) 208-7079,4_half,$$,60659,IL,Chicago,3401 W Bryn Mawr Ave,No,Yes,No,Street
Yelp’s 12th Burstday Aboard THE ZEPHYR,,5,,10038,NY,New York,South Street Seaport,No,No,No,No
Coffee Project New York,(212) 228-7888,5,$$,10003,NY,New York,239 E 5th St,No,Yes,No,Street
Brooklyn Bridge Park,(718) 222-9939,4_half,,11201,NY,Brooklyn,334 Furman St,No,No,No,Street
Brooklyn Heights Promenade,(212) 639-9675,5,,11201,NY,Brooklyn,Columbia Heights,No,No,No,Street
Brooklyn Bridge,,4_half,,11201,NY,Brooklyn,334 Furman St,No,No,No,No
